Year,Geo Level,State,State ANSI,Fruit,Category,Item,Metric,Value,CV (%)
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,43.5
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,546,6.3
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,546,6.3
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,51.2
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,45.7
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,51.3
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,540,6.3
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,50.3
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC,PROCESSING - OPERATIONS WITH SALES,NA,18,24.9
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN $,NA,(D)
2021,NATIONAL,US TOTAL,NA,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN CWT,NA,(H)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,(D)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,2,(H)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,2,(H)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,(D)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(D)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,(D)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,2,(H)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,ALASKA,02,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,45.7
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,142,19.2
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,142,19.2
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,51.6
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,46.0
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,51.7
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,141,20.4
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,50.6
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC,PROCESSING - OPERATIONS WITH SALES,NA,7,60.0
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN $,NA,(D)
2021,STATE,CALIFORNIA,06,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN CWT,NA,(H)
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,3,(H)
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,8,74.4
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,8,74.4
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,183,(H)
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(H)
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,183,(H)
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,8,74.4
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(H)
2021,STATE,CONNECTICUT,09,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,183,(H)
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,704,99.8
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,10,57.3
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,10,57.3
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,(H)
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(H)
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,(H)
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,10,57.3
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(H)
2021,STATE,FLORIDA,12,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(H)
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,1,92.4
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,4,80.4
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,4,80.4
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,19,78.0
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,77.8
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,19,78.0
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,4,80.4
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,77.8
2021,STATE,GEORGIA,13,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,19,78.0
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,7,87.5
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,6,53.2
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,6,53.2
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,111,71.4
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,74.1
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,111,71.4
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,6,53.2
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,74.1
2021,STATE,IDAHO,16,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,111,71.4
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,1,95.4
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,5,95.4
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,5,95.4
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,53,94.9
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,95.0
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,53,94.9
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,5,95.4
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,95.0
2021,STATE,ILLINOIS,17,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,53,94.9
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,(D)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,2,(H)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,2,(H)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,(D)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(D)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,(D)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,2,(H)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,INDIANA,18,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,(D)
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,6,97.5
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,6,97.5
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,74,96.4
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(D)
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,74,96.4
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,6,97.5
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,IOWA,19,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,74,96.4
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,5,76.0
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,12,69.1
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,12,69.1
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,62,72.0
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,72.0
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,62,72.0
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,12,69.1
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,72.0
2021,STATE,KENTUCKY,21,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,62,72.0
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,(D)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,2,(H)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,2,(H)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,(D)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(D)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,(D)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,2,(H)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,LOUISIANA,22,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,11,62.4
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,16,38.4
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,16,38.4
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,504,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,504,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,16,38.4
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(H)
2021,STATE,MAINE,23,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,504,(H)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,3,31.6
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,17,31.1
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,17,31.1
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,127,35.4
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,42.8
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,127,35.4
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,17,31.1
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,PROCESSING - OPERATIONS WITH SALES,NA,2,(H)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN $,NA,(D)
2021,STATE,MARYLAND,24,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN CWT,NA,(D)
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,9,89.6
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,12,79.2
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,12,79.2
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,251,76.5
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,80.1
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,251,76.5
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,12,79.2
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,80.1
2021,STATE,MASSACHUSETTS,25,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,251,76.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,15,47.2
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,26,32.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,26,32.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,564,43.9
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,44.1
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,564,43.9
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,26,32.5
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,44.1
2021,STATE,MICHIGAN,26,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,564,43.9
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,19,45.8
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,21,39.5
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,21,39.5
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,749,54.0
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,62.4
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,749,54.0
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,18,43.6
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,659,62.9
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,PROCESSING - OPERATIONS WITH SALES,NA,3,95.4
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN $,NA,(D)
2021,STATE,MINNESOTA,27,STRAWBERRIES,ORGANIC,PROCESSING - SALES,MEASURED IN CWT,90,95.4
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,5,71.5
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,11,43.6
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,11,43.6
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,96,73.5
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,74.8
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,96,73.5
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,11,43.6
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,74.8
2021,STATE,MONTANA,30,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,96,73.5
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - ACRES HARVESTED,NA,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,1,(H)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - OPERATIONS WITH SALES,NA,NA,1,(H)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - PRODUCTION,MEASURED IN CWT,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - SALES,MEASURED IN $,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC - SALES,MEASURED IN CWT,NA,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC,FRESH MARKET - OPERATIONS WITH SALES,NA,1,(H)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN $,NA,(D)
2021,STATE,NEBRASKA,31,STRAWBERRIES,ORGANIC,FRESH MARKET - SALES,MEASURED IN CWT,NA,(D)
